,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,83350,83350,83350.0,83350.0,83350.0,83350.0,83350.0,83350.0,83350.0,83350.0,83350.0,83350.0,83350,83350.0,83350.0,83350
unique,1,83350,,,,,,,,,,,2,,,2
top,ozlabs-project-18,ozlabs-change2-480554,,,,,,,,,,,False,,,True
freq,83350,1,,,,,,,,,,,82727,,,61952
mean,,,1.027990401919616,1.0269226154769047,2.271961607678464,1.8181763647270546,130.96721759745716,131.02157168566288,130.96215956808638,4.613671121009779,4.62867426514697,4.604415116976605,,264.68466265080315,583.4918665200294,
std,,,0.986718471196154,0.17023976995265966,3.521788512729292,1.4123096563427464,832.413811247695,841.7568313169263,832.6701156315025,35.96619220610258,36.72220232822419,35.915035820959666,,1707.4823110291331,2236.9244188062876,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-23.646666666666665,-22.028055555555557,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,16.0,15.0,16.0,1.0,1.0,1.0,,20.03125,147.43027777777777,
75%,,,1.0,1.0,3.0,2.0,59.0,58.0,59.0,3.0,3.0,3.0,,213.97590277777778,546.0286111111111,
max,,,15.0,7.0,116.0,24.0,84851.0,84851.0,84851.0,4661.0,4662.0,4660.0,,385774.2622222222,386012.9188888889,
