,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,151031,151031,151031.0,151031.0,151031.0,151031.0,151031.0,151031.0,151031.0,151031.0,151031.0,151031.0,151031,151031.0,151031.0,151031
unique,1,151031,,,,,,,,,,,2,,,2
top,kernel-project-62,kernel-change2-954434,,,,,,,,,,,False,,,False
freq,151031,1,,,,,,,,,,,150578,,,150830
mean,,,1.0587031801418252,1.0644503446312346,2.503009315968245,2.0712966212234574,68.27434967144754,68.6455495891572,67.99414689699465,2.086400126234776,2.085446034257868,2.086326648171567,,207.47768400379908,544.562888991149,
std,,,1.2262051248368984,0.26625329797166647,4.58083457859399,1.8880687316955933,203.17205530442368,208.4979903320331,203.55117007152845,4.085041483769394,4.147745102909157,4.103010873320352,,1817.8320331623643,2462.5359967105164,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-214.33472222222224,-34.708333333333336,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,14.5,14.0,14.0,1.0,1.0,1.0,,2.7616666666666663,23.05472222222222,
75%,,,2.0,1.0,3.0,2.0,48.0,48.0,48.0,2.0,2.0,2.0,,73.73541666666668,308.4863888888889,
max,,,21.0,6.0,149.0,55.0,15768.0,15768.0,15768.0,398.0,398.0,398.0,,413937.6391666667,416338.78555555554,
