,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,131197,131197,131197.0,131197.0,131197.0,131197.0,131197.0,131197.0,131197.0,131197.0,131197.0,131197.0,131197,131197.0,131197.0,131197
unique,1,131197,,,,,,,,,,,2,,,2
top,ozlabs-project-14,ozlabs-change1-226160,,,,,,,,,,,False,,,False
freq,131197,1,,,,,,,,,,,130443,,,130174
mean,,,0.9622399902436793,1.375404925417502,2.602300357477686,2.772037470368987,84.33582326106763,83.95429773546651,84.58283344893557,2.6953543198506926,2.683643680876849,2.695092113386739,,214.26438805130198,542.3807742449226,
std,,,1.1171744397636154,0.5425474440045148,4.423372384489949,2.2666468320840494,707.2566445973781,716.5922469667298,708.4642028258753,10.083872444897485,10.413668905261368,9.654640225406519,,1681.31707976048,2196.704801432898,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-377822.39499999996,-15.760277777777778,
25%,,,0.0,1.0,0.0,1.0,6.333333333333333,6.0,6.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,2.0,20.0,19.0,20.0,1.0,1.0,1.0,,2.898611111111111,22.319166666666668,
75%,,,1.0,2.0,3.0,3.0,57.22222222222222,56.0,58.0,3.0,3.0,3.0,,58.565000000000005,261.66027777777776,
max,,,15.0,15.0,141.0,50.0,173102.0,173102.0,173102.0,818.3333333333334,964.0,817.0,,121981.15555555555,121981.15555555555,
