,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,84104,84104,84104.0,84104.0,84104.0,84104.0,84104.0,84104.0,84104.0,84104.0,84104.0,84104.0,84104,84104.0,84104.0,84104
unique,1,84104,,,,,,,,,,,2,,,2
top,ozlabs-project-18,ozlabs-change1-485351,,,,,,,,,,,False,,,True
freq,84104,1,,,,,,,,,,,83477,,,62042
mean,,,1.0226148577951109,1.0266812517835062,2.251593265480833,1.8018762484542947,131.907203219239,131.78052173499478,132.05496765908876,4.623794359876219,4.6390064681822505,4.61352611052982,,260.2012981117294,569.1506436904837,
std,,,0.9823416632423668,0.16949393397810059,3.4609462942296383,1.3944080218333332,831.9901168254064,840.6913062841508,832.7661622592867,35.94927665075852,36.670157960209366,35.9158979629708,,1681.386824236967,2179.437461146423,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-23.646666666666665,-22.028055555555557,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,16.0,15.0,16.0,1.0,1.0,1.0,,19.595555555555556,144.09208333333333,
75%,,,1.0,1.0,3.0,2.0,60.0,59.0,60.0,3.0,3.0,3.0,,211.93611111111113,533.4111111111112,
max,,,13.0,7.0,99.0,24.0,84851.0,84851.0,84851.0,4661.0,4662.0,4660.0,,385774.2622222222,386012.9188888889,
