,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,37029,37029,37029.0,37029.0,37029.0,37029.0,37029.0,37029.0,37029.0,37029.0,37029.0,37029.0,37029,37029.0,37029.0,37029
unique,1,37029,,,,,,,,,,,2,,,2
top,kernel-project-399,kernel-change1-923510,,,,,,,,,,,False,,,True
freq,37029,1,,,,,,,,,,,36916,,,22504
mean,,,0.9423424883199655,1.0358367765805179,2.055578060439115,1.7850333522374355,75.6483257551142,75.68735315563477,76.21261713791893,2.3530229809007577,2.339922763239623,2.362958762051365,,68.61204321087676,191.0140368284918,
std,,,1.1870750459205932,0.18891191580630487,4.082669076360426,1.5280926426238801,443.0559061365996,463.0218872294992,458.0240715278909,5.3801307446323205,5.382276377165318,5.388738898862638,,389.91606120536443,775.3504950520551,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,-227.56722222222223,-154.62416666666667,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,15.857142857142858,15.0,16.0,1.0,1.0,1.0,,0.7088888888888889,4.822222222222222,
75%,,,1.0,1.0,2.0,2.0,53.0,52.0,53.0,2.0,2.0,2.0,,19.751944444444444,71.90972222222221,
max,,,18.0,4.0,112.0,55.0,46620.0,46620.0,46620.0,333.0,333.0,333.0,,14403.960833333334,17194.283888888887,
