change2_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change2-9587,ffmpeg-patch-20722,"[FFmpeg-devel,2/2] avcodec/nvenc_hevc: add a53cc option for nvenc hevc",2020-06-29T15:21:03,yes
ffmpeg-change2-9587,ffmpeg-patch-20711,"[FFmpeg-devel,2/2] avcodec/nvenc_hevc: add a53cc option for hevc",2020-06-29T15:35:27,yes
ffmpeg-change2-9784,ffmpeg-patch-34338,"[FFmpeg-devel,v3,1/5] libavutil/wchar_filename.h: Add wchartoansi and utf8toansi",2022-02-16T15:08:55,yes
ffmpeg-change2-9784,ffmpeg-patch-34387,"[FFmpeg-devel,v5,1/6] libavutil/wchar_filename.h: Add wchartoansi and utf8toansi",2022-02-18T18:34:31,yes
ffmpeg-change2-9784,ffmpeg-patch-34390,"[FFmpeg-devel,v6,1/6] libavutil/wchar_filename.h: Add wchartoansi and utf8toansi",2022-02-18T19:11:52,yes
ffmpeg-change2-9784,ffmpeg-patch-34403,"[FFmpeg-devel,v7,1/6] libavutil/wchar_filename.h: Add whcartoutf8, wchartoansi and utf8toansi",2022-02-19T09:56:18,yes
ffmpeg-change2-9784,ffmpeg-patch-35027,"[FFmpeg-devel,v8,1/6] libavutil/wchar_filename.h: Add whcartoutf8, wchartoansi and utf8toansi",2022-03-28T20:43:34,yes
ffmpeg-change2-9784,ffmpeg-patch-35327,"[FFmpeg-devel,v9,1/6] libavutil/wchar_filename.h: Add whcartoutf8, wchartoansi and utf8toansi",2022-04-15T08:07:43,yes
ffmpeg-change2-9784,ffmpeg-patch-35378,"[FFmpeg-devel,v10,1/6] libavutil/wchar_filename.h: Add whcartoutf8, wchartoansi and utf8toansi",2022-04-23T20:03:35,yes
ffmpeg-change2-9784,ffmpeg-patch-35387,"[FFmpeg-devel,v11,1/6] libavutil/wchar_filename.h: Add whcartoutf8, wchartoansi and utf8toansi",2022-04-23T20:56:21,yes
ffmpeg-change2-9784,ffmpeg-patch-36075,"[FFmpeg-devel,v12,1/4] libavutil/wchar_filename.h: Add whcartoutf8, wchartoansi and utf8toansi",2022-06-05T11:32:52,yes
