change1_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change1-1049,ffmpeg-patch-15743,"[FFmpeg-devel,v1,2/4] avfilter/vf_unsharp: add 10bit support",2019-10-14T10:27:05,yes
ffmpeg-change1-1049,ffmpeg-patch-23272,"[FFmpeg-devel,1/3] avfilter/vf_unsharp: add 10bit support",2020-10-29T10:26:16,yes
ffmpeg-change1-1049,ffmpeg-patch-23283,"[FFmpeg-devel,v3,1/3] avfilter/vf_unsharp: add 10bit support",2020-10-30T11:10:07,yes
ffmpeg-change1-1049,ffmpeg-patch-23288,"[FFmpeg-devel,v4,1/3] avfilter/vf_unsharp: add 10bit support",2020-10-30T15:11:32,yes
ffmpeg-change1-1049,ffmpeg-patch-23320,"[FFmpeg-devel,v5,1/3] avfilter/vf_unsharp: add 10bit support",2020-11-02T02:07:40,yes
ffmpeg-change1-23070,ffmpeg-patch-1716,[FFmpeg-devel] vaapi_vp9: Do not set bit_depth on old versions,2016-12-08T15:51:38,yes
ffmpeg-change1-23070,ffmpeg-patch-1740,[FFmpeg-devel] vaapi_vp9: Do not set bit_depth on old versions,2016-12-10T12:50:20,yes
ffmpeg-change1-13115,ffmpeg-patch-7585,"[FFmpeg-devel,v3,6/8] lavfi/silencedetect: Fix missing log at eos",2018-02-13T17:21:05,yes
ffmpeg-change1-13115,ffmpeg-patch-7654,"[FFmpeg-devel,v3,6/8] lavfi/silencedetect: Fix missing log at eos",2018-02-19T13:16:30,yes
ffmpeg-change1-4260,ffmpeg-patch-11748,[FFmpeg-devel] amfenc: Add support for pict_type field,2019-01-14T19:02:20,yes
ffmpeg-change1-4260,ffmpeg-patch-11763,[FFmpeg-devel] amfenc: Add support for pict_type field,2019-01-15T22:05:52,yes
ffmpeg-change1-27311,ffmpeg-patch-37975,"[FFmpeg-devel,2/2] lavc/vorbisdec: use intermediate variables",2022-09-17T09:59:36,yes
ffmpeg-change1-27311,ffmpeg-patch-38050,"[FFmpeg-devel,PATCHv2,2/2] lavc/vorbisdec: use intermediate variables",2022-09-19T15:35:51,yes
ffmpeg-change1-27311,ffmpeg-patch-38054,"[FFmpeg-devel,PATCHv3,3/3] lavc/vorbisdec: use intermediate variables",2022-09-19T16:10:44,yes
ffmpeg-change1-13756,ffmpeg-patch-23520,"[FFmpeg-devel,096/114] avcodec/atrac9dec: Replace av_free() by av_freep() in close function",2020-11-10T10:58:18,yes
ffmpeg-change1-13756,ffmpeg-patch-23868,"[FFmpeg-devel,v2,120/162] avcodec/atrac9dec: Replace av_free() by av_freep() in close function",2020-11-20T07:32:45,yes
ffmpeg-change1-8060,ffmpeg-patch-37398,"[FFmpeg-devel,2/5] lavc/aarch64: Add neon implementation of vsse16",2022-08-22T15:26:24,yes
ffmpeg-change1-8060,ffmpeg-patch-37697,"[FFmpeg-devel,2/5] lavc/aarch64: Add neon implementation of vsse16",2022-09-06T10:27:19,yes
ffmpeg-change1-8060,ffmpeg-patch-37756,"[FFmpeg-devel,2/5] lavc/aarch64: Add neon implementation of vsse16",2022-09-08T09:25:04,yes
ffmpeg-change1-7474,ffmpeg-patch-10831,"[FFmpeg-devel,1/4] doc/filters: add document for opencl filters",2018-10-29T05:17:59,yes
ffmpeg-change1-7474,ffmpeg-patch-10833,"[FFmpeg-devel,1/4] doc/filters: add document for opencl filters",2018-10-29T05:56:57,yes
ffmpeg-change1-1121,ffmpeg-patch-2169,"[FFmpeg-devel,1/3] cmdutils_opencl: fix resource_leak cid 1396852",2017-01-10T11:44:32,yes
ffmpeg-change1-1121,ffmpeg-patch-2191,[FFmpeg-devel] cmdutils_opencl: fix resource_leak cid 1396852,2017-01-12T05:31:04,yes
ffmpeg-change1-13021,ffmpeg-patch-3407,[FFmpeg-devel] Enhanced configure to improve compiler options associated with debugging with Visual C++ (MSVC),2017-04-14T00:03:46,yes
ffmpeg-change1-13021,ffmpeg-patch-3423,[FFmpeg-devel] Enhanced configure to improve compiler options associated with debugging with Visual C++ (MSVC),2017-04-15T02:07:33,yes
ffmpeg-change1-13015,ffmpeg-patch-38659,"[FFmpeg-devel,06/11] avfilter/overlay_vaapi: remove redundant .get_buffer assignments",2022-10-10T10:54:36,yes
ffmpeg-change1-13015,ffmpeg-patch-39075,"[FFmpeg-devel,v2,06/11] avfilter/overlay_vaapi: remove redundant .get_buffer assignments",2022-10-31T06:20:02,yes
ffmpeg-change1-25676,ffmpeg-patch-13266,"[FFmpeg-devel,V1] doc/encoders: Document eld_v2 option for libfdk_aac encoder.",2019-05-24T03:22:28,yes
ffmpeg-change1-25676,ffmpeg-patch-13285,"[FFmpeg-devel,V2,2/2] doc/encoders: Document eld_v2 option for libfdk_aac encoder.",2019-05-25T02:11:49,yes
ffmpeg-change1-11060,ffmpeg-patch-18828,"[FFmpeg-devel,4/4] avformat/mpegtsenc: use the correct stream_types and write HDMV descriptors for m2ts",2020-04-10T19:44:53,yes
ffmpeg-change1-11060,ffmpeg-patch-18901,"[FFmpeg-devel,v2,4/4] avformat/mpegtsenc: use the correct stream_types and write HDMV descriptors for m2ts",2020-04-12T22:37:38,yes
ffmpeg-change1-20722,ffmpeg-patch-39155,"[FFmpeg-devel,1/2] avformat/imfdec: remove the experimental flag",2022-11-03T21:02:45,yes
ffmpeg-change1-20722,ffmpeg-patch-39888,"[FFmpeg-devel,v2,1/3] avformat/imfdec: remove the experimental flag",2023-01-05T23:29:44,yes
ffmpeg-change1-6100,ffmpeg-patch-14493,"[FFmpeg-devel,v2,3/3] avfilter/vf_v360: add dual fisheye format",2019-08-14T01:14:05,yes
ffmpeg-change1-6100,ffmpeg-patch-14516,"[FFmpeg-devel,v3,3/3] avfilter/vf_v360: add dual fisheye format",2019-08-15T00:56:13,yes
ffmpeg-change1-1260,ffmpeg-patch-20431,"[FFmpeg-devel,1/5] avutil/channel_layout: add 22.2 layout",2020-06-16T21:02:49,yes
ffmpeg-change1-1260,ffmpeg-patch-21357,"[FFmpeg-devel,1/5] avutil/channel_layout: add 22.2 layout",2020-07-29T11:39:48,yes
ffmpeg-change1-1260,ffmpeg-patch-21415,"[FFmpeg-devel,1/7] avutil/channel_layout: add 22.2 layout",2020-08-01T11:07:24,yes
ffmpeg-change1-22606,ffmpeg-patch-11810,"[FFmpeg-devel,1/2] avutil: Rename RSHIFT macro to ROUNDED_RSHIFT",2019-01-21T17:38:59,yes
ffmpeg-change1-22606,ffmpeg-patch-11813,[FFmpeg-devel] avutil: Rename RSHIFT macro to ROUNDED_RSHIFT,2019-01-21T19:09:36,yes
ffmpeg-change1-11935,ffmpeg-patch-21220,"[FFmpeg-devel,2/2] avformat/hlsenc: write temp file for append single file by encryption mode",2020-07-22T08:11:03,yes
ffmpeg-change1-11935,ffmpeg-patch-21222,"[FFmpeg-devel,v2,2/2] avformat/hlsenc: write temp file for append single file by encryption mode",2020-07-22T09:15:29,yes
ffmpeg-change1-4429,ffmpeg-patch-32949,"[FFmpeg-devel,1/4] avcodec/jpegxl: add Jpeg XL image codec and parser",2021-12-30T19:10:43,yes
ffmpeg-change1-4429,ffmpeg-patch-33063,"[FFmpeg-devel,v2,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-01-04T16:26:28,yes
ffmpeg-change1-4429,ffmpeg-patch-33119,"[FFmpeg-devel,v3,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-01-06T13:30:13,yes
ffmpeg-change1-4429,ffmpeg-patch-33149,"[FFmpeg-devel,v4,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-01-07T09:01:07,yes
ffmpeg-change1-4429,ffmpeg-patch-34546,"[FFmpeg-devel,v6,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-02-28T21:12:28,yes
ffmpeg-change1-4429,ffmpeg-patch-34852,"[FFmpeg-devel,v7,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-03-19T17:26:41,yes
ffmpeg-change1-4429,ffmpeg-patch-34921,"[FFmpeg-devel,v8,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-03-23T10:39:59,yes
ffmpeg-change1-4429,ffmpeg-patch-34927,"[FFmpeg-devel,v9,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-03-23T11:03:21,yes
ffmpeg-change1-4429,ffmpeg-patch-35077,"[FFmpeg-devel,v10,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-03-30T14:53:24,yes
ffmpeg-change1-4429,ffmpeg-patch-35123,"[FFmpeg-devel,v11,1/5] avcodec/jpegxl: add Jpeg XL image codec and parser",2022-04-01T00:20:02,yes
ffmpeg-change1-2232,ffmpeg-patch-3738,[FFmpeg-devel] lavc/aarch64: add a few SIMD function for AAC PS,2017-05-25T15:50:52,yes
