change2_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change2-13881,ffmpeg-patch-35474,"[FFmpeg-devel,v6,1/4] doc/examples/transcode_aac: Don't ignore last encoded frame",2022-04-28T13:57:38,1
ffmpeg-change2-13881,ffmpeg-patch-35539,"[FFmpeg-devel,v7,1/4] doc/examples/transcode_aac: Don't ignore last encoded frame",2022-05-02T07:29:22,1
ffmpeg-change2-6015,ffmpeg-patch-17179,"[FFmpeg-devel,8/9] avformat/wavdec: Reindent after last commit",2020-01-03T15:56:35,1
ffmpeg-change2-6015,ffmpeg-patch-17369,"[FFmpeg-devel,v2,6/8] avformat/wavdec.c: Reindent after last commit",2020-01-15T10:56:00,1
ffmpeg-change2-6015,ffmpeg-patch-22708,"[FFmpeg-devel,v4,6/9] avformat/wavdec.c: Reindent after last commit",2020-10-02T22:23:43,1
ffmpeg-change2-6015,ffmpeg-patch-23074,"[FFmpeg-devel,v5,6/9] avformat/wavdec.c: Reindent after last commit",2020-10-19T08:19:26,1
ffmpeg-change2-6015,ffmpeg-patch-40385,"[FFmpeg-devel,5/6] avformat/wavdec.c: Reindent after last commit",2023-02-13T18:09:35,1
ffmpeg-change2-12226,ffmpeg-patch-40204,"[FFmpeg-devel,1/2] avcodec/pngenc.c: avoid writing cICP when inappropriate",2023-02-01T17:12:26,1
ffmpeg-change2-12226,ffmpeg-patch-40206,"[FFmpeg-devel,v2,1/2] avcodec/pngenc.c: avoid writing cICP when inappropriate",2023-02-01T17:44:11,1
ffmpeg-change2-12226,ffmpeg-patch-40214,"[FFmpeg-devel,v3,1/3] avcodec/pngenc: avoid writing cICP when inappropriate",2023-02-02T15:09:36,1
ffmpeg-change2-24721,ffmpeg-patch-40872,"[FFmpeg-devel,v2] Add option to set frame length when encoding with libfdk_aac",2023-03-27T14:37:05,1
ffmpeg-change2-24721,ffmpeg-patch-40907,"[FFmpeg-devel,v3] avcodec/libfdk-accenc: Add option to set frame length when encoding with libfdk_aac",2023-03-29T15:59:33,1
ffmpeg-change2-24721,ffmpeg-patch-40936,"[FFmpeg-devel,v4] avcodec/libfdk-accenc: Add option to set frame length when encoding with libfdk_aac",2023-03-30T12:27:41,1
ffmpeg-change2-26204,ffmpeg-patch-19951,"[FFmpeg-devel,04/17] lavu/mem: move the DECLARE_ALIGNED macro family to mem_internal on next bump",2020-05-28T20:15:46,1
ffmpeg-change2-26204,ffmpeg-patch-24471,"[FFmpeg-devel,2/2] lavu/mem: move the DECLARE_ALIGNED macro family to mem_internal on next+1 bump",2020-12-10T10:23:40,1
ffmpeg-change2-21299,ffmpeg-patch-16433,"[FFmpeg-devel,v2] avformat/matroskaenc: Don't waste bytes on length fields",2019-11-27T05:50:54,0
ffmpeg-change2-21299,ffmpeg-patch-18678,"[FFmpeg-devel,16/20] avformat/matroskaenc: Don't waste bytes on length fields",2020-04-05T15:59:24,0
ffmpeg-change2-21299,ffmpeg-patch-33615,"[FFmpeg-devel,04/25] avformat/matroskaenc: Don't waste bytes on SimpleTags length fields",2022-01-16T23:03:44,0
ffmpeg-change2-21299,ffmpeg-patch-33621,"[FFmpeg-devel,09/25] avformat/matroskaenc: Don't waste bytes on ChapterAtoms length fields",2022-01-16T23:03:49,0
ffmpeg-change2-21299,ffmpeg-patch-33633,"[FFmpeg-devel,21/25] avformat/matroskaenc: Don't waste bytes on BlockGroup length fields",2022-01-16T23:04:01,0
ffmpeg-change2-5504,ffmpeg-patch-12387,"[FFmpeg-devel,v1,1/2] avformat/rtsp.c: Add https tunneling support",2019-03-21T22:24:43,1
ffmpeg-change2-5504,ffmpeg-patch-12388,"[FFmpeg-devel,v2] avformat/rtsp: Add https tunneling support",2019-03-21T23:58:41,1
ffmpeg-change2-23935,ffmpeg-patch-16382,"[FFmpeg-devel] libavcodec/amfenc_hevc.c: Fix constant QP settings for I, P pictures.",2019-11-22T05:11:44,1
ffmpeg-change2-23935,ffmpeg-patch-17601,"[FFmpeg-devel,1/2] libavcodec/amfenc_hevc.c: Fix constant QP settings for I, P",2020-01-28T16:23:43,1
ffmpeg-change2-91,ffmpeg-patch-30665,"[FFmpeg-devel,3/5] avformat/imf: Demuxer implementation",2021-09-29T20:47:49,1
ffmpeg-change2-91,ffmpeg-patch-30976,"[FFmpeg-devel,3/5] avformat/imf: Demuxer implementation",2021-10-07T23:41:24,1
