,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,152864,152864,152864.0,152864.0,152864.0,152864.0,152864.0,152864.0,152864.0,152864.0,152864.0,152864.0,152864,152864.0,152864.0,152864
unique,1,152864,,,,,,,,,,,2,,,2
top,kernel-project-62,kernel-change1-965595,,,,,,,,,,,False,,,False
freq,152864,1,,,,,,,,,,,152407,,,152663
mean,,,1.050508949131254,1.0637036843207033,2.4729956039355243,2.046459598074105,68.90168528630525,69.23788465564162,68.65966480008373,2.0906321124308005,2.0896810236550136,2.0910547938036426,,202.98072460923873,529.4608646974507,
std,,,1.2188190379248294,0.2645410509880651,4.518412241078907,1.8571933632479318,204.75988351643392,209.77987735581894,205.13876175607774,4.091262843097853,4.15254228537128,4.1018939563727415,,1795.6706410772576,2420.6306495065123,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-214.33472222222224,-34.708333333333336,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,15.0,14.0,14.0,1.0,1.0,1.0,,2.6566666666666667,22.46236111111111,
75%,,,2.0,1.0,3.0,2.0,49.0,48.0,48.0,2.0,2.0,2.0,,72.63354166666667,301.7163888888889,
max,,,21.0,6.0,149.0,55.0,15768.0,15768.0,15768.0,398.0,398.0,398.0,,413937.6391666667,416338.78555555554,
