,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,36696,36696,36696.0,36696.0,36696.0,36696.0,36696.0,36696.0,36696.0,36696.0,36696.0,36696.0,36696,36696.0,36696.0,36696
unique,1,36696,,,,,,,,,,,2,,,2
top,kernel-project-399,kernel-change2-912754,,,,,,,,,,,False,,,True
freq,36696,1,,,,,,,,,,,36583,,,22462
mean,,,0.947460213647264,1.0361347285807718,2.0742315238718114,1.8012317418792239,75.61657069397033,75.67328864181383,76.17628624373229,2.3492684927667264,2.337202964900807,2.358949204272945,,69.79058299572465,195.6828534293777,
std,,,1.1931208473443409,0.18966952634712225,4.117969466333707,1.5484207684879132,444.7059505498234,464.79661631471464,459.75167075595397,5.3726370119660505,5.381490764981896,5.385076047830094,,397.84267824762395,793.8970020593009,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,-227.56722222222223,-154.62416666666667,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,16.0,15.0,16.0,1.0,1.0,1.0,,0.725,4.988333333333333,
75%,,,1.0,1.0,2.0,2.0,53.0,52.0,53.0,2.0,2.0,2.0,,19.972638888888888,73.02326388888889,
max,,,18.0,4.0,112.0,55.0,46620.0,46620.0,46620.0,333.0,333.0,333.0,,14403.960833333334,17194.283888888887,
