project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
kernel-project-399,kernel-change1-941381,0,1,0,2,7.0,7,7,1.0,1,1,False,0.0,0.0,False
kernel-project-399,kernel-change1-941382,0,1,0,2,5.0,5,5,2.0,2,2,False,0.0,0.0,False
kernel-project-399,kernel-change1-941383,0,1,0,2,6.0,6,6,2.0,2,2,False,0.0,0.0,False
kernel-project-399,kernel-change1-941384,1,1,6,5,9.0,9,9,1.0,1,1,False,0.40555555555555556,24.272499999999997,True
kernel-project-399,kernel-change1-941385,0,1,0,2,142.0,142,142,2.0,2,2,False,0.0,0.0,False
kernel-project-399,kernel-change1-941386,1,1,2,2,5.0,5,5,1.0,1,1,False,23.470833333333335,142.90972222222223,True
kernel-project-399,kernel-change1-941387,0,1,0,2,4.0,4,4,1.0,1,1,False,0.0,0.0,False
kernel-project-399,kernel-change1-941388,0,1,0,1,10.0,10,10,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941389,1,1,1,1,6.0,6,6,1.0,1,1,False,70.93888888888888,70.93888888888888,True
kernel-project-399,kernel-change1-941390,1,1,1,1,3.0,3,3,1.0,1,1,False,22.301388888888887,22.301388888888887,True
kernel-project-399,kernel-change1-941391,0,1,0,1,10.0,10,10,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941392,0,1,0,1,81.0,81,81,2.0,2,2,False,0.0,0.0,True
kernel-project-399,kernel-change1-941393,1,1,1,1,33.0,33,33,1.0,1,1,False,26.415833333333335,26.415833333333335,True
kernel-project-399,kernel-change1-941394,1,1,5,4,2.0,2,2,1.0,1,1,False,4.463888888888889,609.4936111111111,True
kernel-project-399,kernel-change1-941395,2,1,2,4,2.0,2,2,1.0,1,1,False,2.5175,609.5202777777778,True
kernel-project-399,kernel-change1-941396,0,1,0,1,7.0,7,7,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941397,1,1,1,1,3.0,3,3,1.0,1,1,False,30.707222222222224,30.707222222222224,True
kernel-project-399,kernel-change1-941398,1,1,1,1,4.0,4,4,1.0,1,1,False,8.741111111111111,8.741111111111111,True
kernel-project-399,kernel-change1-941399,1,1,2,1,6.0,6,6,1.0,1,1,False,10.985833333333334,10.993055555555555,True
kernel-project-399,kernel-change1-941400,1,1,3,1,8.0,8,8,1.0,1,1,False,16.99861111111111,19.755277777777778,False
kernel-project-399,kernel-change1-941401,2,1,3,1,6.0,6,6,2.0,2,2,False,47.525555555555556,99.19166666666666,False
kernel-project-399,kernel-change1-941402,1,1,1,1,5.0,5,5,3.0,3,3,False,69.69277777777778,69.69277777777778,True
kernel-project-399,kernel-change1-941403,2,1,2,1,22.0,22,22,1.0,1,1,False,20.38888888888889,30.612222222222222,True
kernel-project-399,kernel-change1-941404,2,1,2,1,19.0,19,19,2.0,2,2,False,21.00277777777778,35.23861111111111,True
kernel-project-399,kernel-change1-941405,1,1,1,1,1.0,1,1,1.0,1,1,False,89.00888888888889,89.00888888888889,True
kernel-project-399,kernel-change1-941406,2,1,4,2,13.5,16,11,2.0,2,2,False,4.454722222222222,1411.8758333333333,True
kernel-project-399,kernel-change1-941407,1,1,1,1,2.0,2,2,1.0,1,1,False,0.4233333333333333,0.4233333333333333,True
kernel-project-399,kernel-change1-941408,0,1,0,1,3.0,3,3,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941409,0,1,0,1,2.0,2,2,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941410,2,1,2,1,6.0,6,6,2.0,2,2,False,3.2719444444444443,30.6375,True
kernel-project-399,kernel-change1-941411,2,1,2,1,36.0,36,36,1.0,1,1,False,1.3477777777777777,13.69,True
kernel-project-399,kernel-change1-941412,0,1,0,1,15.0,15,15,1.0,1,1,False,0.0,0.0,False
kernel-project-399,kernel-change1-941413,1,1,1,1,4.0,4,4,1.0,1,1,False,8.640833333333335,8.640833333333335,True
kernel-project-399,kernel-change1-941414,0,1,0,2,27.0,27,27,3.0,3,3,False,0.0,0.0,False
kernel-project-399,kernel-change1-941415,1,1,1,1,6.0,6,6,1.0,1,1,False,41.18694444444444,41.18694444444444,True
kernel-project-399,kernel-change1-941416,0,1,0,2,199.5,182,217,3.0,3,3,False,0.0,0.0,True
kernel-project-399,kernel-change1-941417,1,1,2,1,183.0,183,183,3.0,3,3,False,15.204444444444444,57.080555555555556,False
kernel-project-399,kernel-change1-941418,0,1,0,1,5.0,5,5,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941419,1,1,1,1,33.0,33,33,1.0,1,1,False,48.74583333333333,48.74583333333333,True
kernel-project-399,kernel-change1-941420,1,1,1,1,18.0,18,18,1.0,1,1,False,48.693888888888885,48.693888888888885,True
kernel-project-399,kernel-change1-941421,2,1,2,1,2.0,2,2,1.0,1,1,False,4.958611111111111,101.1511111111111,True
kernel-project-399,kernel-change1-941422,1,1,1,1,4.0,4,4,1.0,1,1,False,29.6675,29.6675,True
kernel-project-399,kernel-change1-941423,0,1,0,1,8.0,8,8,4.0,4,4,False,0.0,0.0,True
kernel-project-399,kernel-change1-941424,1,1,1,1,8.0,8,8,4.0,4,4,False,9.032222222222222,9.032222222222222,True
kernel-project-399,kernel-change1-941425,2,1,2,1,2.0,2,2,1.0,1,1,False,26.666944444444443,173.83277777777778,True
kernel-project-399,kernel-change1-941426,0,1,0,1,2.0,2,2,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941427,2,1,2,2,47.0,69,25,1.0,1,1,False,21.53861111111111,21.85666666666667,True
kernel-project-399,kernel-change1-941428,1,1,1,1,9.0,9,9,1.0,1,1,False,25.20388888888889,25.20388888888889,True
kernel-project-399,kernel-change1-941429,3,1,12,3,277.6666666666667,336,242,1.0,1,1,False,9.017777777777779,336.7961111111111,True
kernel-project-399,kernel-change1-941430,2,1,2,1,1.0,1,1,1.0,1,1,False,2.4161111111111113,23.799444444444443,True
kernel-project-399,kernel-change1-941431,1,1,2,1,8.0,8,8,1.0,1,1,False,23.203333333333333,92.8375,False
kernel-project-399,kernel-change1-941432,1,1,1,1,22.0,22,22,4.0,4,4,False,72.72805555555556,72.72805555555556,True
kernel-project-399,kernel-change1-941433,1,1,1,1,2.0,2,2,1.0,1,1,False,24.25472222222222,24.25472222222222,True
kernel-project-399,kernel-change1-941434,0,1,0,1,22.0,22,22,2.0,2,2,False,0.0,0.0,True
kernel-project-399,kernel-change1-941435,1,1,1,1,3.0,3,3,1.0,1,1,False,5.801666666666667,5.801666666666667,False
kernel-project-399,kernel-change1-941436,1,1,2,4,8.5,9,8,1.0,1,1,False,4.594444444444445,609.6602777777778,True
kernel-project-399,kernel-change1-941437,1,1,2,4,18.0,18,18,1.0,1,1,False,4.6194444444444445,610.0372222222221,True
kernel-project-399,kernel-change1-941438,1,1,1,1,18.0,18,18,9.0,9,9,False,112.58944444444445,112.58944444444445,True
kernel-project-399,kernel-change1-941439,0,1,0,1,21.0,21,21,3.0,3,3,False,0.0,0.0,True
kernel-project-399,kernel-change1-941440,2,1,2,2,17.0,14,20,1.0,1,1,False,1.7166666666666666,31.095555555555556,True
kernel-project-399,kernel-change1-941441,1,1,1,1,3.0,3,3,1.0,1,1,False,10.310277777777777,10.310277777777777,True
kernel-project-399,kernel-change1-941442,4,1,5,2,12.0,12,12,5.0,5,5,False,0.08888888888888888,64.75666666666667,True
kernel-project-399,kernel-change1-941443,2,1,2,2,2.0,2,2,1.0,1,1,False,3.631111111111111,146.355,True
kernel-project-399,kernel-change1-941444,1,1,1,1,1.0,1,1,1.0,1,1,False,4.310277777777778,4.310277777777778,False
kernel-project-399,kernel-change1-941445,2,1,2,1,2.0,2,2,1.0,1,1,False,0.2997222222222222,4.147777777777778,False
kernel-project-399,kernel-change1-941446,2,1,2,1,3.0,3,3,1.0,1,1,False,0.5494444444444445,32.0425,False
kernel-project-399,kernel-change1-941447,1,1,1,1,2.0,2,2,1.0,1,1,False,81.34166666666667,81.34166666666667,False
kernel-project-399,kernel-change1-941448,1,1,1,1,12.0,12,12,1.0,1,1,False,21.69472222222222,21.69472222222222,True
kernel-project-399,kernel-change1-941449,0,1,0,1,2.0,2,2,1.0,1,1,False,0.0,0.0,False
kernel-project-399,kernel-change1-941450,0,1,0,1,9.0,9,9,1.0,1,1,False,0.0,0.0,True
kernel-project-399,kernel-change1-941451,3,1,9,1,74.0,74,74,3.0,3,3,False,15.90611111111111,158.9975,False
