change2_original_id,patch_original_id,patch_name,date,is_correct
kernel-change2-1182644,kernel-patch-12983413,[2/5] mt76: Remove unused inline function mt76_wcid_mask_test(),2022-09-21T09:04:52,yes
kernel-change2-1182644,kernel-patch-12984670,[v2] wifi: mt76: Remove unused inline function mt76_wcid_mask_test(),2022-09-22T07:47:11,yes
kernel-change2-1186425,kernel-patch-12989387,"[net,2/3] i40e: Fix not setting xps_cpus after reset",2022-09-26T20:32:13,yes
kernel-change2-1186425,kernel-patch-13065104,"[net,1/3] i40e: Fix not setting default xps_cpus after reset",2022-12-05T21:25:21,yes
kernel-change2-1175041,kernel-patch-11823659,"[net,034/117] wlcore: set DEBUGFS_FWSTATS_FILE_ARRAY.owner to THIS_MODULE",2020-10-08T15:50:46,yes
kernel-change2-1175041,kernel-patch-11889119,"[net,v2,07/21] wlcore: set .owner to THIS_MODULE",2020-11-07T17:21:38,yes
kernel-change2-1168103,kernel-patch-13016363,"[net-next,5/6] net/mlx5: Remove redundant check",2022-10-23T17:22:57,yes
kernel-change2-1168103,kernel-patch-13017940,"[net-next,v1,5/6] net/mlx5: Remove redundant check",2022-10-24T16:59:58,yes
kernel-change2-1168103,kernel-patch-13059453,"[net-next,12/15] net/mlx5: Remove redundant check",2022-11-30T05:11:49,yes
kernel-change2-1168103,kernel-patch-13248693,"[net-next,02/15] net/mlx5: E-Switch, Remove redundant check",2023-05-19T17:55:44,no
kernel-change2-1167227,kernel-patch-12699870,"[RFC,17/32] net: Kconfig: add HAS_IOPORT dependencies",2021-12-27T16:43:02,yes
kernel-change2-1167227,kernel-patch-12832113,[20/37] net: add HAS_IOPORT dependencies,2022-04-29T13:50:32,yes
kernel-change2-1199629,kernel-patch-11945237,[1/4] net: stmmac: dwmac4_lib: increase the timeout for dma reset,2020-12-02T08:59:46,yes
kernel-change2-1199629,kernel-patch-11950457,"[V2,1/5] net: stmmac: increase the timeout for dma reset",2020-12-04T02:46:34,yes
kernel-change2-1199629,kernel-patch-11955285,"[V3,1/5] net: stmmac: increase the timeout for dma reset",2020-12-07T10:51:37,yes
kernel-change2-1190319,kernel-patch-12828987,"[net-next,01/14] eth: remove copies of the NAPI_POLL_WEIGHT define",2022-04-27T15:40:58,yes
kernel-change2-1190319,kernel-patch-12831202,"[net-next,v2,01/15] eth: remove copies of the NAPI_POLL_WEIGHT define",2022-04-28T21:23:09,yes
kernel-change2-1190319,kernel-patch-12832566,[net-next] eth: remove remaining copies of the NAPI_POLL_WEIGHT define,2022-04-29T17:43:30,yes
kernel-change2-1168283,kernel-patch-12903419,"[wpan-next,03/20] net: ieee802154: Handle coordinators discovery",2022-07-01T14:30:35,yes
kernel-change2-1168283,kernel-patch-12956116,"[wpan-next,v2,05/11] net: ieee802154: Handle coordinators discovery",2022-08-26T14:40:43,yes
kernel-change2-1168283,kernel-patch-13028265,"[wpan-next,2/3] ieee802154: Handle coordinators discovery",2022-11-02T15:19:14,yes
kernel-change2-1166916,kernel-patch-12551317,"[bpf-next,3/3] libbpf: Fix dumping __int128",2021-10-12T02:32:18,yes
kernel-change2-1166916,kernel-patch-12556295,"[bpf-next,v2,3/4] libbpf: Fix dumping non-aligned __int128",2021-10-13T16:09:01,yes
kernel-change2-1171289,kernel-patch-12171605,"[net-next,08/12] net/mlx5e: Introduce Flow Steering UDP API",2021-03-30T04:27:37,yes
kernel-change2-1171289,kernel-patch-12171607,"[net-next,09/12] net/mlx5e: Introduce Flow Steering ANY API",2021-03-30T04:27:38,yes
kernel-change2-1171289,kernel-patch-12951728,"[net-next,01/15] net/mlx5e: Introduce flow steering API",2022-08-23T05:55:19,no
kernel-change2-1182346,kernel-patch-12085215,[next] octeontx2-pf: Fix out-of-bounds read in otx2_get_fecparam(),2021-02-12T12:23:10,yes
kernel-change2-1182346,kernel-patch-12085435,"[v2,next] octeontx2-pf: Fix out-of-bounds read warning in otx2_get_fecparam()",2021-02-12T15:06:19,yes
