metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,77122,1.6364202173180156,1.0097243972944814,1.0,1.0,1.0,2.0,15.0
author_count,77122,1.3657840823630092,0.545214903454244,1.0,1.0,1.0,2.0,15.0
comment_count,77122,4.145885739477711,5.144500028865026,1.0,1.0,2.0,5.0,141.0
iteration_count,77122,3.0828557350691113,2.512690623186577,1.0,1.0,2.0,4.0,50.0
changed_lines_avg,77122,83.7888647573479,494.34776455414766,0.3333333333333333,6.5,20.33333333333333,59.75,75104.0
changed_files_avg,77122,2.8269112684265103,11.293894241374268,0.3333333333333333,1.0,1.0,3.0,818.3333333333334
changed_lines_last,77122,83.85534607504992,493.7403749143941,0.0,6.0,20.0,60.0,75104.0
changed_files_last,77122,2.819753118435725,10.570252487558049,0.0,1.0,1.0,3.0,817.0
response_time,77006,305.18023260092286,1592.6925866044128,0.0002777777777777,2.486736111111111,18.705555555555556,133.89513888888888,121981.15555555555
finalizing_time,77086,824.0479718575504,2702.4361137168203,0.0091666666666666,22.187569444444442,128.34708333333333,562.5472916666666,121981.15555555555
is_accepted,77122,544.0,,,,,,
