metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,13032,1.5789594843462247,1.0967874950442456,1.0,1.0,1.0,2.0,14.0
author_count,13032,1.0277777777777777,0.16894039391049143,1.0,1.0,1.0,1.0,3.0
comment_count,13032,4.020564763658686,5.1208274323019785,1.0,1.0,2.0,5.0,125.0
iteration_count,13032,1.6464855739717619,1.508528014645577,1.0,1.0,1.0,2.0,37.0
changed_lines_avg,13032,94.45377009695949,487.05255151160776,0.5,4.0,12.0,45.0,25300.5
changed_files_avg,13032,2.5859310904869433,11.254736919578813,1.0,1.0,1.0,2.0,513.0
changed_lines_last,13032,95.25698281154082,493.954451680427,0.0,4.0,12.0,45.0,25301.0
changed_files_last,13032,2.6164825046040514,11.366667677796043,1.0,1.0,1.0,2.0,513.0
response_time,12998,148.63139162435246,885.436228645532,0.0052777777777777,1.4736111111111112,9.900277777777779,43.36555555555556,26739.402777777777
finalizing_time,13021,474.8996696788948,1850.216111550823,0.0130555555555555,14.151111111111112,49.44777777777778,227.635,47614.63666666667
is_accepted,13032,7416.0,,,,,,
