metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,19924,1.7434752057819716,1.1100348475684378,1.0,1.0,1.0,2.0,18.0
author_count,19924,1.0398012447299738,0.19829599489779934,1.0,1.0,1.0,1.0,4.0
comment_count,19924,3.7897008632804656,4.970889190109813,1.0,1.0,2.0,4.0,112.0
iteration_count,19924,2.0450712708291507,1.8166499731689723,1.0,1.0,1.0,2.0,55.0
changed_lines_avg,19924,72.4771182286882,374.2557955862066,0.8571428571428571,4.0,12.4375,47.0,23266.0
changed_files_avg,19924,2.3272008292266526,5.47363866841626,1.0,1.0,1.0,2.0,221.0
changed_lines_last,19924,73.52956233688015,406.7276131692854,0.0,4.0,13.0,47.0,29037.0
changed_files_last,19924,2.3438064645653482,5.518993712076809,1.0,1.0,1.0,2.0,221.0
response_time,19889,122.92823302663113,518.5177559766629,0.0027777777777777,3.6438888888888887,15.53138888888889,56.881388888888885,14403.960833333334
finalizing_time,19913,353.24939803422666,1041.8699972888357,0.0161111111111111,18.637777777777774,58.256388888888885,216.6977777777778,17194.283888888887
is_accepted,19924,11605.0,,,,,,
