metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,24719,0.8297665763178123,1.1235368062596978,0.0,0.0,1.0,1.0,14.0
author_count,24719,1.022856911687366,0.152661017742933,1.0,1.0,1.0,1.0,3.0
comment_count,24719,2.249160564747765,4.235771737300646,0.0,0.0,1.0,2.0,134.0
iteration_count,24719,1.46531008535944,1.2724619792274587,1.0,1.0,1.0,1.0,37.0
changed_lines_avg,24719,76.46402354138206,391.4336661635958,0.0,4.0,11.0,38.0,25300.5
changed_files_avg,24719,2.4170935342964164,10.981979782554241,0.0,1.0,1.0,2.0,513.0
changed_lines_last,24719,76.82701565597314,394.3469188255308,0.0,4.0,11.0,38.0,25301.0
changed_files_last,24719,2.436223148185606,11.046410678345973,0.0,1.0,1.0,2.0,513.0
response_time,15611,193.89314817187312,958.771000223595,0.0047222222222222,2.2293055555555554,16.14638888888889,82.44083333333333,26739.402777777777
finalizing_time,15635,481.5387523718154,1815.4912116394435,0.0047222222222222,17.909444444444446,64.08333333333333,254.32180555555556,47614.63666666667
is_accepted,24719,15534.0,,,,,,
