metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,36696,0.947460213647264,1.193104590409309,0.0,0.0,1.0,1.0,18.0
author_count,36696,1.0361347285807718,0.18966694199435175,1.0,1.0,1.0,1.0,4.0
comment_count,36696,2.0742315238718114,4.117913356709752,0.0,0.0,1.0,2.0,112.0
iteration_count,36696,1.8012317418792239,1.5483996703938756,1.0,1.0,1.0,2.0,55.0
changed_lines_avg,36696,75.61657069397033,444.69989118394903,0.0,4.0,16.0,53.0,46620.0
changed_files_avg,36696,2.3492684927667264,5.372563806799073,1.0,1.0,1.0,2.0,333.0
changed_lines_last,36696,76.17628624373229,459.74540638377493,0.0,4.0,16.0,53.0,46620.0
changed_files_last,36696,2.358949204272945,5.385002673174336,1.0,1.0,1.0,2.0,333.0
response_time,20284,126.28684695381145,528.3890415771344,0.0027777777777777,3.630625,15.65013888888889,58.25159722222222,14403.960833333334
finalizing_time,20309,353.5884293635553,1040.6539523855865,0.0161111111111111,18.391944444444444,58.1625,215.82916666666668,17194.283888888887
is_accepted,36696,22462.0,,,,,,
