metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,131197,0.9622399902436793,1.1171701821336064,0.0,0.0,1.0,1.0,15.0
author_count,131197,1.375404925417502,0.5425453763182192,1.0,1.0,1.0,2.0,15.0
comment_count,131197,2.602300357477686,4.423355526708089,0.0,0.0,1.0,3.0,141.0
iteration_count,131197,2.772037470368987,2.2666381937342726,1.0,1.0,2.0,3.0,50.0
changed_lines_avg,131197,84.33582326106763,707.2539491927869,0.0,6.333333333333333,20.0,57.22222222222222,173102.0
changed_files_avg,131197,2.695354319850692,10.083834014553576,0.0,1.0,1.0,3.0,818.3333333333334
changed_lines_last,131197,84.58283344893557,708.4615028191952,0.0,6.0,20.0,58.0,173102.0
changed_files_last,131197,2.695092113386739,9.654603430896648,0.0,1.0,1.0,3.0,817.0
response_time,87852,324.29401652779677,1600.00523730296,0.0002777777777777,2.8149305555555557,21.232222222222227,145.97201388888888,121981.15555555555
finalizing_time,87938,809.1940551297504,2642.602452023898,0.0005555555555555,21.810624999999998,124.26527777777778,543.8239583333333,121981.15555555555
is_accepted,131197,1023.0,,,,,,
