metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,56579,1.5138478940949822,0.8357152095894889,1.0,1.0,1.0,2.0,15.0
author_count,56579,1.0284027642764983,0.17653973064142833,1.0,1.0,1.0,1.0,7.0
comment_count,56579,3.233938387034059,3.9021769728131868,1.0,1.0,2.0,4.0,116.0
iteration_count,56579,1.9637851499673022,1.5231053956792628,1.0,1.0,1.0,2.0,24.0
changed_lines_avg,56579,125.31382341265103,759.3082802428892,1.0,4.0,15.0,59.0,84851.0
changed_files_avg,56579,4.396184156884279,29.519516892604095,1.0,1.0,1.0,3.0,1846.8
changed_lines_last,56579,125.4764665335195,759.4968768099557,0.0,4.0,15.0,59.0,84851.0
changed_files_last,56579,4.394209865851288,29.50166398100459,1.0,1.0,1.0,3.0,1764.0
response_time,56474,336.313819864992,1998.3645339427505,0.0005555555555555,8.907708333333332,66.00902777777777,299.2495833333333,385774.2622222222
finalizing_time,56553,798.0433951239446,2612.5514386732702,0.0058333333333333,90.22194444444445,302.675,797.6616666666666,386012.9188888889
is_accepted,56579,42728.0,,,,,,
