metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,37029,0.9423424883199655,1.1870590168209614,0.0,0.0,1.0,1.0,18.0
author_count,37029,1.0358367765805179,0.1889093649246816,1.0,1.0,1.0,1.0,4.0
comment_count,37029,2.055578060439115,4.08261394799292,0.0,0.0,1.0,2.0,112.0
iteration_count,37029,1.7850333522374355,1.528072008756376,1.0,1.0,1.0,2.0,55.0
changed_lines_avg,37029,75.6483257551142,443.04992354326123,0.0,4.0,15.857142857142858,53.0,46620.0
changed_files_avg,37029,2.3530229809007577,5.38005809661227,1.0,1.0,1.0,2.0,333.0
changed_lines_last,37029,76.21261713791893,458.0178868190964,0.0,4.0,16.0,53.0,46620.0
changed_files_last,37029,2.362958762051365,5.388666134606497,1.0,1.0,1.0,2.0,333.0
response_time,20441,124.31889428381957,518.1432322318957,0.0027777777777777,3.6125,15.58027777777778,57.905277777777776,14403.960833333334
finalizing_time,20466,345.61263521070174,1016.9689300151653,0.0161111111111111,18.23763888888889,56.95166666666667,211.89680555555557,17194.283888888887
is_accepted,37029,22504.0,,,,,,
