metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,24893,0.8269794721407625,1.1188520256230676,0.0,0.0,1.0,1.0,14.0
author_count,24893,1.0228980034547865,0.1527671802247631,1.0,1.0,1.0,1.0,3.0
comment_count,24893,2.2334391194311656,4.1732962523609665,0.0,0.0,1.0,2.0,125.0
iteration_count,24893,1.4550676897119672,1.2530442296099245,1.0,1.0,1.0,1.0,37.0
changed_lines_avg,24893,77.78088194158451,398.0367617783818,0.0,4.0,11.0,38.0,25300.5
changed_files_avg,24893,2.4192342433151843,10.949127936159853,0.0,1.0,1.0,2.0,513.0
changed_lines_last,24893,78.28365403928815,402.5163694000917,0.0,4.0,11.0,38.0,25301.0
changed_files_last,24893,2.437833929217049,11.0132379049663,0.0,1.0,1.0,2.0,513.0
response_time,15697,191.68433474549278,950.3831168514373,0.0047222222222222,2.2197222222222224,16.03361111111111,81.68472222222222,26739.402777777777
finalizing_time,15721,470.9574251885305,1778.236042574879,0.0047222222222222,17.77305555555556,63.34388888888888,250.3658333333333,47614.63666666667
is_accepted,24893,15552.0,,,,,,
