metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,151031,1.0587031801418252,1.2262010653817053,0.0,0.0,1.0,2.0,21.0
author_count,151031,1.0644503446312346,0.26625241651773085,1.0,1.0,1.0,1.0,6.0
comment_count,151031,2.503009315968245,4.580819413355856,0.0,0.0,1.0,3.0,149.0
iteration_count,151031,2.0712966212234574,1.888062481085265,1.0,1.0,1.0,2.0,55.0
changed_lines_avg,151031,68.27434967144754,203.17138268624723,0.0,4.0,14.5,48.0,15768.0
changed_files_avg,151031,2.086400126234776,4.085027959895998,0.0,1.0,1.0,2.0,398.0
changed_lines_last,151031,67.99414689699465,203.55049619826067,0.0,4.0,14.0,48.0,15768.0
changed_files_last,151031,2.086326648171567,4.102997289957782,0.0,1.0,1.0,2.0,398.0
response_time,94796,330.5708909394911,2285.6271523621504,0.0002777777777777,4.612638888888889,33.8,191.3213888888889,413937.6391666667
finalizing_time,94959,866.1221818626988,3060.4358737723464,0.0002777777777777,34.33736111111111,176.61416666666668,675.5529166666666,416338.78555555554
is_accepted,151031,201.0,,,,,,
